Machine_ID,Temperature,Speed,Torque,Yarn_Type,Defect
M103,317,1527,44,Silk,0
M101,340,1528,47,Cotton,0
M105,320,1773,45,Cotton,1
M110,304,1233,61,Blend,1
M107,316,1367,41,Cotton,0
M109,325,1627,47,Cotton,0
M107,325,1408,53,Polyester,0
M109,309,1556,57,Cotton,0
M108,329,1478,47,Polyester,0
M112,302,1703,35,Cotton,0
M102,331,1316,49,Silk,0
M101,307,1597,61,Blend,1
M116,318,1660,52,Polyester,0
M105,331,1328,52,Blend,0
M103,321,1544,41,Polyester,0
M112,328,1334,41,Polyester,0
M108,326,1454,50,Polyester,0
M103,333,1419,39,Silk,0
M101,331,1162,56,Cotton,0
M103,315,1501,43,Polyester,0
M105,326,1467,50,Silk,0
M115,305,1627,35,Polyester,1
M114,319,1523,47,Cotton,0
M103,328,1725,41,Polyester,0
M101,321,1463,31,Silk,0
M105,324,1437,54,Cotton,0
M114,318,1428,63,Silk,0
M107,331,1397,59,Cotton,0
M109,319,1185,55,Cotton,0
M115,315,1424,47,Blend,0
M115,329,1202,56,Blend,0
M110,306,1504,60,Blend,0
M113,325,1301,51,Cotton,0
M119,310,1343,41,Polyester,0
M107,333,1370,46,Silk,0
M117,317,1425,64,Silk,1
M104,321,1451,49,Silk,0
M105,324,1580,23,Blend,0
M107,301,1381,38,Cotton,0
M113,313,1508,47,Blend,0
M115,330,1778,58,Polyester,1
M111,329,1495,48,Cotton,0
M104,323,1428,58,Silk,0
M113,307,1357,46,Blend,0
M107,326,1427,34,Blend,0
M119,327,1344,46,Polyester,0
M102,320,1482,53,Polyester,0
M110,332,1462,52,Blend,0
M113,313,1191,40,Polyester,0
M106,315,1448,47,Silk,0
M112,295,1579,71,Polyester,1
M112,329,1402,40,Polyester,0
M111,323,1372,55,Blend,0
M107,303,1285,33,Blend,0
M101,302,1227,57,Cotton,0
M101,311,1550,43,Cotton,0
M113,328,1428,53,Blend,0
M109,317,1543,40,Polyester,0
M103,312,1634,52,Polyester,0
M107,310,1561,43,Cotton,0
M106,309,1385,44,Cotton,0
M108,301,1467,54,Cotton,0
M109,308,1376,47,Silk,0
M105,309,1365,53,Silk,0
M101,327,1491,48,Cotton,0
M119,318,1350,51,Polyester,0
M110,312,1185,54,Cotton,0
M112,343,1343,47,Silk,1
M115,313,1413,42,Polyester,0
M109,332,1633,46,Silk,0
M117,336,1391,60,Polyester,0
M117,304,1511,51,Silk,0
M112,321,1430,43,Polyester,0
M107,315,1597,53,Polyester,0
M102,314,1589,54,Polyester,0
M103,326,1591,54,Polyester,0
M117,314,1242,42,Blend,0
M105,315,1475,45,Silk,0
M117,318,1541,45,Silk,0
M117,316,1496,47,Blend,0
M117,308,1526,54,Polyester,0
M102,328,1457,52,Polyester,0
M102,330,1361,53,Silk,0
M105,323,1246,61,Blend,1
M101,316,1373,56,Polyester,0
M101,313,1771,49,Polyester,0
M119,313,1392,41,Polyester,0
M102,344,1215,44,Cotton,1
M112,329,1538,48,Blend,0
M106,312,1553,57,Polyester,0
M104,322,1604,50,Cotton,0
M111,316,1507,45,Blend,0
M117,326,1551,44,Polyester,0
M106,325,1671,49,Silk,0
M105,331,1361,57,Cotton,0
M102,311,1337,63,Cotton,1
M106,321,1319,48,Polyester,0
M111,303,1418,50,Polyester,0
M116,307,1622,40,Cotton,0
M116,329,1513,66,Silk,0
M101,310,1509,39,Silk,0
M109,312,1232,59,Blend,0
M106,320,1367,47,Polyester,0
M116,327,1230,45,Silk,0
M103,309,1591,41,Blend,0
M104,285,1640,69,Silk,1
M119,311,1544,52,Polyester,0
M103,332,1332,50,Blend,0
M119,323,1628,57,Blend,0
M107,333,1420,45,Blend,0
M109,309,1304,50,Silk,0
M101,304,1334,50,Polyester,0
M108,325,1398,46,Blend,0
M107,322,1456,60,Cotton,0
M118,323,1431,48,Polyester,0
M108,329,1280,38,Cotton,0
M101,324,1596,48,Cotton,0
M111,324,1432,52,Blend,0
M118,327,1364,43,Blend,0
M110,325,1583,43,Silk,0
M103,329,1308,46,Silk,0
M107,330,1255,60,Silk,0
M116,335,1603,46,Polyester,0
M116,314,1677,61,Silk,1
M117,325,1395,45,Cotton,0
M102,316,1444,53,Silk,0
M101,312,1312,46,Blend,0
M116,313,1451,56,Silk,0
M112,325,1393,41,Polyester,0
M105,324,1438,56,Polyester,0
M105,324,1499,51,Cotton,0
M109,318,1318,45,Polyester,0
M109,320,1407,49,Silk,0
M103,328,1234,62,Blend,0
M119,305,1407,51,Polyester,0
M116,320,1439,44,Cotton,0
M116,321,1477,40,Silk,0
M103,328,1479,54,Cotton,0
M101,306,1558,52,Polyester,0
M111,335,1265,56,Polyester,0
M117,322,1272,38,Cotton,0
M108,323,1513,41,Silk,0
M104,316,1205,59,Polyester,0
M106,325,1472,53,Blend,0
M108,320,1308,54,Polyester,0
M103,332,1639,42,Silk,0
M116,306,1480,42,Polyester,0
M103,322,1424,58,Cotton,0
M118,324,1597,58,Polyester,0
M114,318,1322,41,Polyester,0
M118,316,1345,40,Silk,0
M102,316,1299,49,Cotton,0
M103,322,1346,44,Silk,0
M116,302,1457,43,Polyester,0
M109,330,1509,40,Blend,0
M104,315,1565,46,Polyester,0
M101,321,1231,41,Silk,0
M104,324,1429,41,Blend,0
M101,315,1317,52,Silk,0
M114,319,1425,50,Silk,0
M116,300,1730,54,Cotton,1
M108,327,1485,37,Blend,0
M107,331,1558,50,Polyester,0
M103,303,1685,67,Silk,1
M117,316,1585,47,Polyester,0
M101,308,1396,57,Cotton,0
M116,318,1297,57,Cotton,0
M112,326,1446,57,Blend,0
M119,330,1382,51,Cotton,0
M114,331,1267,55,Cotton,0
M106,333,1479,56,Polyester,0
M106,318,1482,55,Cotton,0
M113,309,1662,41,Cotton,0
M119,319,1407,36,Silk,0
M108,326,1484,38,Cotton,0
M102,308,1370,48,Silk,0
M101,337,1555,55,Cotton,0
M115,329,1435,41,Cotton,0
M101,318,1309,57,Blend,0
M105,313,1448,46,Blend,0
M116,313,1497,46,Silk,0
M119,321,1481,43,Cotton,0
M104,318,1576,35,Polyester,0
M103,330,1276,52,Blend,0
M117,317,1349,64,Polyester,0
M117,325,1527,49,Blend,0
M112,320,1363,35,Blend,0
M114,323,1479,56,Cotton,0
M106,318,1160,37,Blend,0
M103,327,1776,40,Polyester,0
M109,327,1418,48,Blend,0
M105,325,1593,51,Silk,0
M117,326,1410,42,Cotton,0
M114,311,1500,48,Cotton,0
M103,323,1629,56,Silk,0
M101,332,1590,57,Silk,0
M101,325,1425,60,Silk,0
M103,310,1434,65,Blend,1
M118,320,1570,56,Cotton,0
M110,324,1730,48,Silk,0
M103,312,1473,57,Blend,0
M108,306,1685,54,Silk,0
M114,317,1421,54,Polyester,0
M118,313,1564,51,Polyester,0
M115,320,1582,43,Cotton,0
M102,304,1401,42,Blend,0
M110,326,1360,49,Polyester,0
M102,314,1587,51,Polyester,0
M117,330,1386,45,Blend,0
M108,317,1343,53,Silk,0
M101,320,1368,67,Blend,0
M109,318,1386,36,Silk,0
M111,313,1553,55,Polyester,0
M116,345,1512,49,Polyester,0
M107,315,1536,54,Polyester,0
M110,330,1501,47,Cotton,0
M103,309,1379,49,Cotton,0
M118,324,1534,51,Cotton,0
M113,325,1592,48,Blend,0
M107,320,1520,38,Polyester,0
M104,314,1504,48,Polyester,0
M113,317,1358,39,Blend,0
M101,316,1475,55,Cotton,0
M108,344,1352,35,Blend,1
M114,320,1447,58,Cotton,0
M116,325,1253,53,Polyester,0
M114,338,1254,53,Silk,1
M112,311,1427,33,Cotton,0
M119,320,1384,47,Polyester,0
M115,317,1463,59,Polyester,0
M102,319,1434,46,Silk,0
M102,318,1454,41,Polyester,0
M119,313,1523,45,Polyester,0
M117,322,1394,49,Cotton,0
M110,309,1424,43,Cotton,0
M106,330,1625,60,Silk,1
M115,326,1450,49,Silk,0
M111,315,1428,46,Polyester,0
M105,316,1460,40,Cotton,0
M101,323,1431,54,Silk,0
M108,312,1365,54,Silk,0
M112,338,1330,44,Blend,0
M112,324,1358,32,Silk,0
M105,324,1555,53,Polyester,0
M107,327,1374,49,Cotton,0
M104,314,1431,53,Silk,0
M106,331,1534,66,Blend,0
M113,321,1417,50,Cotton,0
M115,330,1526,46,Silk,0
M103,318,1265,41,Blend,0
M108,333,1434,48,Silk,0
M116,324,1459,51,Cotton,0
M113,342,1453,50,Cotton,0
M118,316,1252,64,Cotton,1
M110,322,1594,54,Polyester,0
M119,310,1347,49,Silk,0
M117,315,1490,44,Polyester,0
M119,326,1451,52,Cotton,0
M105,331,1570,43,Blend,0
M109,350,1712,51,Silk,1
M112,319,1295,54,Polyester,0
M101,311,1372,48,Silk,0
M101,328,1473,45,Blend,0
M115,309,1317,33,Polyester,0
M102,326,1544,59,Cotton,0
M116,315,1551,53,Polyester,0
M108,322,1517,53,Silk,0
M113,331,1478,38,Silk,0
M101,319,1614,61,Silk,1
M116,329,1311,46,Silk,0
M107,329,1458,48,Cotton,0
M105,301,1361,41,Polyester,0
M103,311,1557,36,Cotton,0
M112,304,1230,59,Cotton,0
M116,340,1447,60,Cotton,0
M119,319,1490,49,Silk,0
M105,338,1336,45,Silk,1
M114,304,1375,47,Silk,0
M105,314,1452,47,Polyester,0
M115,328,1565,40,Blend,0
M117,322,1326,48,Silk,0
M114,325,1347,51,Polyester,0
M105,307,1585,58,Silk,0
M112,334,1417,50,Silk,0
M116,328,1357,37,Cotton,0
M116,324,1537,53,Cotton,0
M107,313,1391,48,Cotton,0
M104,323,1573,61,Polyester,0
M101,317,1370,61,Blend,0
M105,303,1431,62,Blend,0
M110,319,1563,46,Polyester,0
M105,318,1423,66,Silk,1
M104,331,1541,53,Polyester,0
M102,298,1442,63,Silk,1
M110,322,1688,46,Polyester,0
M119,308,1638,48,Polyester,0
M101,323,1291,52,Polyester,0
M105,324,1513,51,Blend,0
M113,319,1352,60,Cotton,0
M104,328,1473,48,Polyester,0
M116,308,1458,59,Blend,0
M116,331,1323,56,Cotton,0
M102,313,1577,48,Cotton,0
M117,304,1474,55,Polyester,0
M112,317,1416,46,Silk,0
M118,299,1397,69,Silk,1
M103,323,1467,29,Silk,0
M101,317,1499,55,Polyester,0
M101,332,1435,36,Silk,0
M119,326,1110,48,Blend,0
M111,306,1452,49,Blend,0
M105,312,1277,62,Blend,1
M112,325,1425,44,Blend,0
M103,328,1281,60,Cotton,0
M101,332,1280,41,Blend,0
M101,332,1598,61,Silk,1
M108,319,1412,46,Polyester,0
M110,324,1402,51,Silk,0
M111,333,1508,47,Blend,0
M112,317,1406,60,Cotton,0
M113,324,1702,59,Blend,1
M112,317,1417,54,Polyester,0
M114,314,1494,41,Silk,0
M102,320,1567,44,Polyester,0
M119,313,1642,42,Polyester,0
M118,319,1361,32,Polyester,0
M103,310,1400,60,Silk,0
M117,318,1603,47,Blend,0
M108,324,1547,47,Polyester,0
M110,314,1579,62,Silk,1
M102,320,1286,46,Cotton,0
M119,321,1636,43,Silk,1
M109,325,1359,48,Cotton,0
M107,319,1473,41,Silk,0
M104,331,1432,53,Blend,0
M118,299,1345,47,Polyester,0
M113,349,1280,46,Blend,1
M111,311,1241,45,Silk,0
M104,324,1464,49,Polyester,0
M104,311,1267,51,Cotton,0
M110,326,1314,46,Silk,0
M105,323,1424,47,Polyester,0
M109,313,1133,49,Cotton,0
M103,331,1543,49,Cotton,0
M117,318,1161,50,Blend,0
M103,325,1441,45,Silk,0
M116,311,1452,58,Cotton,0
M104,320,1515,51,Polyester,0
M118,340,1445,46,Cotton,0
M117,330,1692,53,Cotton,0
M107,323,1476,49,Blend,0
M105,316,1576,36,Blend,0
M112,321,1363,53,Polyester,0
M117,322,1464,42,Blend,0
M113,324,1636,57,Cotton,1
M103,309,1421,48,Cotton,0
M109,327,1473,56,Blend,0
M117,309,1568,45,Cotton,0
M117,336,1361,51,Cotton,0
M116,312,1191,60,Polyester,0
M113,323,1481,48,Blend,0
M119,330,1569,45,Cotton,0
M117,317,1288,55,Blend,0
M104,323,1530,55,Polyester,0
M112,334,1531,46,Blend,0
M109,326,1177,34,Cotton,0
M119,324,1338,45,Blend,0
M112,303,1403,55,Cotton,0
M109,311,1428,44,Cotton,0
M107,330,1361,50,Cotton,0
M114,326,1354,45,Polyester,0
M119,327,1651,35,Blend,0
M115,326,1437,45,Polyester,0
M116,333,1367,55,Blend,0
M105,317,1445,31,Polyester,0
M103,321,1514,52,Silk,0
M112,310,1456,41,Cotton,0
M104,307,1425,55,Cotton,0
M116,304,1372,56,Polyester,0
M107,311,1371,49,Silk,0
M113,336,1378,49,Cotton,0
M110,304,1491,44,Blend,0
M107,317,1331,39,Polyester,0
M114,307,1497,64,Cotton,0
M105,314,1620,43,Cotton,0
M103,322,1489,63,Polyester,1
M111,313,1406,43,Polyester,0
M111,331,1294,54,Blend,0
M118,335,1639,41,Blend,0
M115,298,1310,54,Cotton,0
M112,313,1552,47,Cotton,0
M109,321,1527,47,Polyester,0
M110,331,1422,55,Cotton,0
M112,315,1418,46,Cotton,0
M117,320,1230,39,Polyester,0
M106,308,1490,56,Cotton,0
M107,305,1524,41,Cotton,0
M114,334,1319,54,Silk,0
M113,302,1431,58,Blend,0
M108,343,1455,47,Polyester,0
M110,327,1520,59,Silk,0
M109,327,1450,54,Blend,0
M118,326,1255,44,Blend,0
M102,317,1386,61,Blend,1
M105,324,1477,41,Silk,0
M105,318,1551,47,Silk,0
M106,326,1376,48,Blend,0
M119,320,1713,55,Cotton,0
M108,310,1223,59,Cotton,0
M116,311,1382,58,Silk,0
M113,310,1440,52,Silk,0
M101,330,1426,48,Silk,0
M117,314,1302,35,Blend,0
M107,301,1504,39,Cotton,0
M113,324,1495,64,Silk,1
M104,335,1456,35,Silk,0
M104,328,1490,44,Polyester,0
M106,314,1399,59,Blend,0
M119,304,1256,52,Polyester,0
M112,319,1364,57,Cotton,0
M107,318,1469,54,Polyester,0
M110,310,1470,62,Polyester,0
M119,326,1455,52,Polyester,0
M107,338,1516,55,Blend,1
M103,322,1380,44,Cotton,0
M113,322,1453,55,Polyester,0
M113,311,1519,47,Blend,0
M118,334,1440,46,Cotton,0
M108,319,1301,57,Silk,0
M109,314,1335,57,Polyester,0
M107,321,1550,64,Cotton,1
M101,325,1617,63,Polyester,1
M103,321,1591,57,Silk,0
M113,332,1478,36,Cotton,0
M117,324,1306,65,Blend,0
M101,317,1449,57,Cotton,0
M106,324,1637,44,Blend,1
M106,325,1524,56,Cotton,0
M112,307,1425,42,Blend,0
M113,331,1525,55,Silk,0
M113,317,1298,39,Silk,0
M115,317,1367,44,Silk,0
M116,328,1320,56,Cotton,0
M111,327,1506,59,Silk,0
M105,313,1536,53,Polyester,0
M104,328,1432,48,Silk,0
M103,314,1345,33,Blend,0
M119,338,1448,48,Blend,1
M118,312,1392,54,Blend,0
M115,322,1354,47,Cotton,0
M109,312,1491,50,Polyester,0
M117,342,1359,49,Silk,1
M114,308,1262,47,Polyester,0
M115,325,1289,51,Polyester,0
M101,313,1258,48,Blend,0
M103,316,1480,62,Blend,0
M116,325,1468,32,Blend,0
M111,332,1462,46,Cotton,0
M112,336,1521,43,Polyester,0
M110,305,1593,52,Polyester,0
M116,323,1379,51,Cotton,0
M108,335,1499,63,Cotton,0
M106,303,1260,66,Cotton,0
M112,323,1615,44,Polyester,0
M108,320,1301,50,Polyester,0
M104,324,1365,52,Blend,0
M108,312,1378,44,Blend,0
M118,306,1267,55,Polyester,0
M105,301,1454,48,Blend,0
M109,330,1476,41,Cotton,0
M104,331,1427,48,Silk,0
M117,323,1265,42,Blend,0
M109,315,1688,58,Polyester,0
M101,304,1516,65,Blend,1
M113,326,1766,52,Blend,0
M116,309,1353,51,Blend,0
M113,313,1565,51,Silk,0
M114,314,1544,59,Cotton,0
M103,318,1415,59,Polyester,0
M106,312,1619,49,Silk,0
M118,320,1401,52,Polyester,0
M119,314,1407,55,Polyester,0
M105,327,1033,41,Polyester,0
M115,330,1499,60,Silk,0
M102,321,1291,64,Cotton,1
M110,325,1384,59,Polyester,0
M118,341,1327,40,Cotton,1
M113,308,1406,34,Cotton,0
M105,308,1503,56,Blend,0
M101,327,1451,44,Silk,0
M101,339,1535,52,Silk,0
M118,317,1602,62,Blend,1
M115,337,1406,45,Blend,1
M117,321,1393,47,Cotton,0
M111,313,1565,52,Polyester,0
M117,310,1574,40,Silk,0
M113,326,1539,44,Polyester,0
M101,311,1336,50,Polyester,0
M102,321,1501,48,Blend,0
M109,336,1463,55,Polyester,1
M103,317,1576,72,Cotton,1
M101,333,1381,51,Blend,0
M116,308,1250,43,Polyester,0
M106,315,1533,61,Blend,1
M117,306,1143,37,Cotton,0
M105,321,1362,39,Cotton,0
M105,328,1327,45,Polyester,0
M106,321,1326,48,Blend,0
M103,332,1360,45,Polyester,0
M105,313,1596,50,Polyester,0
M105,322,1548,52,Blend,0
M110,315,1420,59,Polyester,0
M110,324,1586,51,Cotton,0
M119,325,1323,46,Blend,0
M117,326,1306,58,Blend,0
M114,309,1554,43,Blend,0
M109,311,1520,37,Blend,0
M114,313,1395,60,Polyester,0
M101,318,1314,59,Polyester,0
M119,321,1625,44,Cotton,0
M113,327,1244,47,Silk,0
M113,312,1378,43,Silk,0
M104,304,1477,53,Cotton,0
M101,342,1666,64,Silk,1
M117,309,1496,56,Cotton,0
M108,328,1508,58,Polyester,0
M102,320,1382,57,Blend,0
M108,323,1518,50,Blend,0
M107,320,1463,59,Polyester,0
M102,316,1259,56,Blend,0
M103,325,1545,62,Blend,1
M118,316,1566,46,Silk,0
M112,332,1546,36,Polyester,0
M101,326,1454,58,Silk,0
M112,326,1335,53,Silk,0
M105,315,1173,48,Blend,0
M117,318,1469,48,Blend,0
M116,308,1580,70,Polyester,0
M115,316,1569,45,Blend,0
M115,310,1548,43,Blend,0
M105,333,1441,51,Polyester,0
M114,321,1580,59,Blend,0
M102,322,1561,68,Silk,0
M111,318,1399,55,Polyester,0
M119,322,1531,40,Blend,0
M107,345,1386,66,Cotton,1
M106,317,1515,50,Polyester,0
M102,313,1294,43,Polyester,0
M106,325,1303,41,Cotton,0
M118,295,1577,57,Blend,0
M102,321,1563,52,Blend,0
M118,316,1526,53,Polyester,0
M115,310,1461,60,Polyester,0
M119,325,1163,44,Blend,0
M102,321,1441,61,Blend,0
M106,302,1505,46,Silk,0
M101,314,1386,67,Polyester,1
M115,291,1365,55,Polyester,0
M110,323,1623,43,Cotton,1
M119,323,1443,34,Silk,0
M117,312,1505,56,Blend,0
M105,325,1543,47,Silk,0
M104,307,1330,49,Blend,0
M110,310,1473,56,Blend,0
M117,324,1608,58,Silk,0
M110,313,1668,60,Polyester,0
M117,319,1455,41,Blend,0
M105,314,1421,61,Silk,1
M102,316,1482,45,Cotton,0
M106,316,1479,32,Silk,0
M102,313,1616,41,Cotton,1
M113,323,1330,52,Blend,0
M111,314,1416,42,Silk,0
M111,320,1316,49,Silk,0
M116,313,1329,53,Cotton,0
M111,305,1495,49,Silk,0
M119,329,1547,46,Silk,0
M115,325,1372,40,Blend,0
M116,343,1543,50,Silk,0
M111,310,1583,33,Polyester,0
M116,318,1682,45,Cotton,0
M108,319,1458,43,Silk,0
M104,330,1373,48,Cotton,0
M108,315,1330,48,Cotton,0
M104,308,1318,58,Cotton,0
M103,332,1600,63,Silk,1
M103,317,1268,41,Silk,0
M118,329,1596,66,Cotton,1
M119,328,1346,44,Polyester,0
M119,320,1368,51,Cotton,0
M105,318,1432,54,Polyester,0
M118,316,1366,70,Cotton,1
M110,320,1562,46,Blend,0
M106,329,1668,36,Cotton,1
M101,312,1371,62,Cotton,0
M105,321,1398,43,Silk,0
M109,309,1430,47,Polyester,0
M112,310,1515,41,Blend,0
M114,320,1432,47,Polyester,0
M102,300,1616,43,Blend,0
M117,341,1588,55,Cotton,0
M114,308,1308,51,Silk,0
M113,320,1513,45,Silk,0
M109,332,1632,58,Polyester,0
M115,311,1391,52,Silk,0
M115,297,1415,35,Polyester,0
M111,316,1387,57,Polyester,0
M116,311,1389,51,Blend,0
M117,297,1250,61,Polyester,0
M104,323,1291,51,Blend,0
M101,322,1459,44,Silk,0
M108,331,1632,48,Polyester,1
M117,309,1376,56,Polyester,0
M103,304,1373,44,Cotton,0
M115,316,1654,46,Polyester,1
M115,319,1317,48,Polyester,0
M114,329,1251,41,Cotton,0
M114,334,1351,44,Cotton,0
M102,332,1370,51,Silk,0
M113,323,1240,60,Polyester,0
M114,328,1435,53,Silk,0
M119,314,1564,50,Silk,0
M107,322,1296,43,Cotton,0
M103,308,1461,59,Blend,0
M115,321,1498,53,Silk,0
M114,321,1440,44,Blend,0
M111,337,1472,57,Polyester,1
M115,318,1474,54,Cotton,0
M113,321,1352,43,Polyester,0
M118,322,1630,49,Polyester,0
M106,315,1600,46,Cotton,0
M103,312,1593,71,Polyester,0
M119,333,1572,54,Cotton,0
M115,310,1261,51,Blend,0
M105,307,1561,54,Polyester,0
M110,327,1529,61,Cotton,0
M107,332,1266,49,Silk,0
M117,315,1424,45,Polyester,0
M107,316,1483,57,Blend,0
M112,323,1650,49,Cotton,0
M117,313,1537,41,Polyester,0
M113,312,1346,40,Polyester,0
M104,329,1653,62,Polyester,1
M110,326,1455,51,Blend,0
M103,333,1419,45,Cotton,0
M109,307,1411,48,Silk,0
M113,315,1255,56,Silk,0
M118,323,1437,48,Silk,0
M115,311,1510,38,Cotton,0
M104,326,1404,53,Silk,0
M115,332,1500,60,Blend,0
M102,314,1346,59,Cotton,0
M115,320,1433,46,Polyester,0
M108,335,1488,60,Blend,0
M108,338,1473,52,Polyester,1
M117,327,1257,60,Silk,0
M112,326,1397,55,Blend,0
M119,311,1651,38,Cotton,0
M110,324,1391,64,Blend,0
M109,326,1452,50,Polyester,0
M105,318,1440,55,Cotton,0
M106,314,1638,39,Blend,0
M102,307,1605,54,Blend,0
M113,303,1547,59,Blend,0
M106,301,1333,65,Blend,1
M105,326,1493,61,Cotton,1
M101,321,1518,54,Polyester,0
M106,315,1366,38,Blend,0
M106,317,1346,51,Cotton,0
M116,322,1655,45,Polyester,0
M104,318,1414,52,Blend,0
M111,307,1644,40,Polyester,1
M109,329,1570,48,Polyester,0
M103,323,1499,46,Cotton,0
M119,323,1504,46,Polyester,0
M108,328,1282,46,Cotton,0
M105,312,1475,49,Blend,0
M104,332,1620,52,Polyester,0
M106,319,1532,30,Polyester,0
M102,329,1469,31,Silk,0
M111,327,1655,47,Blend,0
M104,310,1428,48,Blend,0
M115,325,1376,52,Silk,0
M106,323,1468,44,Silk,0
M117,320,1542,50,Cotton,0
M106,319,1244,51,Cotton,0
M119,319,1484,44,Polyester,0
M102,328,1547,58,Polyester,0
M115,326,1418,51,Polyester,0
M111,320,1583,54,Polyester,0
M108,305,1527,51,Cotton,0
M119,325,1707,67,Blend,1
M113,327,1360,55,Polyester,0
M112,343,1550,46,Blend,1
M105,331,1328,57,Polyester,0
M106,301,1256,37,Silk,0
M104,321,1206,51,Polyester,0
M119,338,1515,53,Polyester,1
M101,326,1472,51,Polyester,0
M117,323,1393,47,Cotton,0
M112,329,1237,42,Silk,0
M115,314,1367,44,Polyester,0
M101,325,1450,51,Polyester,0
M114,317,1545,41,Blend,0
M106,320,1448,64,Silk,1
M105,328,1480,29,Polyester,0
M111,311,1405,47,Blend,0
M104,333,1660,51,Blend,1
M113,316,1328,54,Cotton,0
M111,323,1366,43,Blend,0
M103,306,1391,59,Polyester,0
M101,327,1515,39,Cotton,0
M106,334,1325,45,Cotton,0
M118,315,1466,55,Polyester,0
M110,309,1470,58,Silk,0
M105,323,1367,39,Blend,0
M110,335,1490,71,Cotton,1
M112,306,1329,43,Silk,0
M102,309,1316,40,Polyester,0
M113,315,1462,54,Blend,0
M108,312,1251,47,Blend,0
M102,312,1193,46,Cotton,0
M101,299,1514,55,Blend,0
M105,326,1576,38,Blend,0
M109,323,1394,36,Blend,0
M117,303,1370,45,Blend,0
M109,335,1571,59,Polyester,0
M111,337,1313,46,Silk,1
M115,312,1286,63,Polyester,0
M106,332,1535,60,Polyester,0
M103,314,1451,52,Cotton,0
M117,322,1578,53,Blend,0
M105,312,1193,52,Polyester,0
M112,342,1282,51,Blend,1
M118,317,1452,47,Polyester,0
M114,321,1500,48,Polyester,0
M111,313,1552,41,Cotton,0
M109,339,1471,32,Silk,0
M102,339,1470,59,Silk,1
M112,336,1403,51,Polyester,0
M103,330,1641,50,Cotton,1
M103,314,1318,53,Blend,0
M101,328,1493,43,Blend,0
M108,320,1331,42,Polyester,0
M108,333,1514,48,Silk,0
M111,331,1326,61,Cotton,0
M109,314,1539,41,Silk,0
M105,329,1463,29,Blend,0
M114,327,1659,46,Silk,1
M103,292,1416,59,Blend,0
M105,328,1501,36,Cotton,0
M105,316,1356,41,Cotton,0
M119,311,1415,52,Polyester,0
M114,312,1463,71,Polyester,1
M104,319,1267,39,Silk,0
M113,325,1280,39,Cotton,0
M110,306,1522,53,Cotton,0
M118,322,1432,60,Polyester,0
M108,326,1379,45,Blend,0
